Address,Balance
5GvHRJAUeYyXv9YhZgBW19FuCQDfUUQuV8w4J8n4NGWGkA4p,242709000000000
5GQgrBZciG7RRQkWEoYfM1Y6YVuzfEcD5TMcPZPupR79yZ4T,105525000000000
5Ek1ZCuSP8JLKksJA98ujYNnz6zcPFqPispYPri2XYxGb8Nm,105525000000000
5CaFS1ENHZukZ6XSNae9pEJE6LtJ5gPSntcfbBQhLuirR3Pc,10658000000000
5ETpmJ4cNCqNEK1Tcsy6Dbh1od1PAY3GULZvY9eRXLTekBCx,316711000000000
5FeXtvbGNS8xguNrdWLbjinGjFJS3jf17QJu94nHQwsh2Qx6,92862000000000
5E5HcGFCZwpcSCu83W7WGsxX3JPVbRZzrNG74JPxD2xJB7Ts,1536334000000000
5GEzoyynkhWk7yspEjppUrFiZqAFR6g8wUYq6jC5Kb9dV7BL,928628000000000
5EcmpToowSBUmpdL7RLi1ExZexxGRhSAsg4o2KZk8aup7KdM,550570000000000
5FPRKZk6zBNUGQFWw8GXLaYW3cUjfUKR6CiAbP6sHbhF6fgC,3514015000000000
5GRVsXMJk3wXG3v2Bic9DHNfNUsdZYqNDjAXkuWYrFizZ22B,8350000000000
5GFAwtDAZ168ySRGhobDJDWctKgUNWPxrnU6sEbmJqLo5pbP,265723000000000
5CPPqo2VFLoziiRapAWcrMQgeXZFjKHJLsWgKRdemuCqZUK3,211051000000000
5FcWTwJQB9LU1xUeXdwyeaJsWSrWuFmMSSh38rYN4E3pYM6e,316577000000000
5FYynmbD54FqdN9N2j5jVtMvh4NY72yH9MyfMZeW5PRcRkCA,187836000000000
5Dr5Lvv2zBFYBKk1gdSNNVXvg3F2me8g1Tcw4ULJcKqv1UZa,211051000000000
5DCPJqHWNnqmPHbK79FA6PiSQcQD5NZYNTNsZkm4pqFF6T9w,42210000000000
5CFbVcEUvShPtTUGV5rhmwavYjKiZUnXXMmUTzyTnoWAYzPt,39457000000000
5Exv9GqyZAtohkaFH69d5vwZ7Qf3FJqrTgUECUAogDn4fc37,210313000000000
5DsFwkfHN3kQYyuWXfqjASbSa69dQX6k5HmRzxLWYzU3AxKU,20102000000000
5GNDw5y6iYiaj7Dd5bD48wxeD12xsNa3eEaeFytqLTTGkAhJ,21105000000000
5E7JAWBPunVQbWNUqpCpujd9eDBS4ZGZ9Gf8NvzdU6FQ6RRd,97634000000000
5G8ovmLGLfsB8pMsRxLEQE1hEGUR69Kx9KoTpQcbWQ5L6JsD,93970000000000
5H16xKeCVNGegX9VpwzXSobTQADKjDZWryiv62VD7tWHZk1g,146681000000000
5Fqff7D2kwtGMA7zXtHvXF25KTfe9bA1SbJTbjfSegtBgVQ5,84420000000000
5CGVdmhSAajkLF8JWuyhXMfHFFUBXn2mnvW7Pj6QNworeF5L,10024000000000
5E9eRmxfAfyTw2NnhHrN9PT5ZfUmY9jrYjAmqADNH6o2iSn3,73868000000000
5Fhh3Be5FD2qAKuTX1BvV1g7tj4N9HvpU3whw7KBHTnCCrqt,454220000000000
5FxxH7DihDAnf92Ygn5sb6VC2nhExbEi8v9BmT8yszkQenuo,18352000000000
5EhcJjGXwkHbxYt6hL9n7DfWKt1x1u1Nce12eESQXRcic7v7,211051000000000
